Bathrooms,Bedrooms,Erf Size,Garages,Price,Type of Property,city,no_year,Size_meters_Square
1.0,3.0,989.0,1.0,970000.0,1,1,1,989
2.0,4.0,1487.0,2.0,1850000.0,1,1,1,1487
4.0,4.0,300.0,2.0,4250000.0,1,1,1,300
2.0,3.0,0.0,2.0,1750000.0,1,1,1,0
2.0,3.0,338.0,2.0,1695000.0,1,1,1,338
2.0,3.0,1.0,2.0,1899000.0,1,1,1,1
2.0,4.0,0.0,3.0,2250000.0,0,1,1,0
3.0,5.0,0.0,2.0,2800000.0,1,1,1,0
2.0,3.0,302.0,2.0,1750000.0,0,1,1,302
2.0,3.0,0.0,2.0,2500000.0,1,1,1,0
2.0,3.0,0.0,2.0,2650000.0,1,1,1,0
2.0,4.0,746.0,2.0,2750000.0,1,1,1,746
2.0,3.0,104.0,2.0,830000.0,1,1,1,104
3.0,5.0,0.0,2.0,3850000.0,1,1,1,0
2.0,4.0,0.0,2.0,2600000.0,1,1,1,0
3.0,4.0,1357.0,2.0,1349000.0,1,1,1,1357
1.0,2.0,123.0,2.0,995000.0,0,1,1,123
3.0,5.0,0.0,6.0,2250000.0,1,1,1,0
3.0,4.0,1547.0,2.0,1750000.0,1,1,1,1547
2.0,3.0,131.0,1.0,1399000.0,0,1,1,131
2.0,3.0,240.0,2.0,1850000.0,0,1,1,240
2.0,4.0,0.0,2.0,1799000.0,1,1,1,0
2.0,3.0,930.0,2.0,1695000.0,1,1,1,930
5.0,6.0,1983.0,5.0,3300000.0,1,1,1,1983
2.0,3.0,200.0,2.0,2495000.0,1,1,1,200
2.0,3.0,0.0,2.0,1395000.0,1,1,1,0
2.0,4.0,0.0,2.0,2779000.0,1,1,1,0
2.0,2.0,89.0,1.0,710000.0,0,1,1,89
2.0,3.0,0.0,1.0,1650000.0,1,1,1,0
2.0,3.0,0.0,6.0,3000000.0,1,1,1,0
2.0,2.0,426.0,2.0,2549000.0,1,1,1,426
4.0,4.0,700.0,2.0,5250000.0,1,1,1,700
2.0,3.0,500.0,2.0,2375000.0,1,1,1,500
2.0,3.0,0.0,2.0,1800000.0,1,1,1,0
2.0,3.0,99.0,1.0,1075000.0,1,1,1,99
2.0,3.0,0.0,2.0,2200000.0,1,1,1,0
2.0,3.0,1005.0,2.0,1250000.0,1,1,1,1005
2.0,3.0,0.0,2.0,1890000.0,1,1,1,0
2.0,3.0,990.0,2.0,1395000.0,1,1,1,990
2.0,4.0,360.0,2.0,2350000.0,1,1,1,360
2.0,3.0,129.0,2.0,1100000.0,1,1,1,129
3.0,4.0,570.0,2.0,2550000.0,1,1,1,570
2.0,3.0,141.0,2.0,1280000.0,0,1,1,141
6.0,8.0,580.0,2.0,2595000.0,1,1,1,580
2.0,3.0,1.0,1.0,1499000.0,1,1,1,1
3.0,3.0,136.0,1.0,1090000.0,0,1,1,136
5.0,5.0,1950.0,5.0,18500000.0,1,1,3,1950
2.0,4.0,1509.0,1.0,1550000.0,1,1,1,1509
2.0,3.0,156.0,2.0,1650000.0,0,1,1,156
1.0,3.0,1.0,2.0,1250000.0,1,1,1,1
1.0,2.0,0.0,1.0,825000.0,0,1,1,0
2.0,2.0,102.0,2.0,1250000.0,1,1,1,102
2.0,4.0,8514.0,2.0,2150000.0,1,1,1,8514
1.0,2.0,0.0,1.0,620000.0,0,1,1,0
2.0,5.0,123.0,2.0,1590000.0,0,1,1,123
1.0,4.0,0.0,2.0,1890000.0,1,1,1,0
2.0,4.0,220.0,2.0,1095000.0,1,1,1,220
3.0,4.0,992.0,2.0,1799000.0,1,1,1,992
3.0,4.0,1000.0,2.0,1579000.0,1,1,1,1000
2.0,3.0,0.0,1.0,1400000.0,1,1,1,0
3.0,4.0,611.0,4.0,4250000.0,1,1,1,611
2.0,3.0,235.0,3.0,2440000.0,1,1,1,235
2.0,3.0,0.0,2.0,900000.0,1,1,1,0
2.0,3.0,184.0,1.0,1650000.0,0,1,1,184
3.0,4.0,1.0,1.0,1580000.0,1,1,1,1
3.0,6.0,350.0,2.0,2595000.0,1,1,1,350
6.0,6.0,900.0,3.0,11500000.0,1,1,1,900
3.0,3.0,303.0,1.0,2545000.0,1,1,1,303
2.0,4.0,1543.0,2.0,1795000.0,1,1,1,1543
2.0,3.0,859.0,2.0,2000000.0,1,1,1,859
2.0,4.0,265.0,3.0,1925000.0,1,1,1,265
1.0,2.0,0.0,1.0,920000.0,0,1,1,0
3.0,4.0,2018.0,2.0,2250000.0,1,1,1,2018
2.0,3.0,185.0,2.0,1850000.0,1,1,1,185
2.0,3.0,150.0,2.0,1239000.0,0,1,1,150
5.0,5.0,492.0,3.0,8990000.0,1,1,1,492
2.0,3.0,850.0,2.0,1399000.0,1,1,1,850
3.0,3.0,500.0,3.0,5795000.0,1,1,1,500
2.0,3.0,0.0,2.0,1650000.0,1,1,1,0
4.0,4.0,675.0,2.0,4950000.0,1,1,1,675
2.0,3.0,844.0,2.0,1575000.0,1,1,1,844
2.0,3.0,220.0,2.0,1395000.0,0,1,1,220
2.0,4.0,1069.0,2.0,1825000.0,1,1,1,1069
2.0,3.0,0.0,2.0,1650000.0,1,1,1,0
2.0,3.0,1000.0,2.0,2750000.0,1,1,1,1000
2.0,3.0,687.0,2.0,2295000.0,1,1,1,687
2.0,4.0,522.0,2.0,2800000.0,1,1,1,522
2.0,3.0,0.0,1.0,1400000.0,1,1,1,0
1.0,2.0,125.0,2.0,899000.0,0,1,1,125
2.0,3.0,200.0,1.0,1349000.0,1,1,1,200
2.0,3.0,200.0,1.0,1349000.0,1,1,1,200
2.0,3.0,310.0,2.0,1400000.0,1,1,1,310
2.0,3.0,1.0,2.0,1595000.0,1,1,1,1
2.0,2.0,98.0,1.0,880000.0,0,1,1,98
2.0,3.0,959.0,2.0,999000.0,1,1,1,959
6.0,6.0,0.0,3.0,7500000.0,1,1,1,0
2.0,4.0,183.0,2.0,2900000.0,1,1,1,183
2.0,3.0,30800.0,1.0,2900000.0,1,1,1,30800
2.0,3.0,280.0,1.0,720000.0,1,1,1,280
6.0,5.0,650.0,4.0,7990000.0,1,1,1,650
1.0,2.0,64.0,1.0,795000.0,0,1,1,64
2.0,3.0,955.0,1.0,1150000.0,1,1,1,955
2.0,3.0,0.0,2.0,2200000.0,1,1,1,0
2.0,4.0,744.0,1.0,1295000.0,1,1,1,744
3.0,4.0,954.0,2.0,1795000.0,1,1,1,954
4.0,4.0,552.0,4.0,2210000.0,1,1,1,552
2.0,3.0,0.0,2.0,1375000.0,1,1,1,0
2.0,4.0,300.0,2.0,490000.0,1,1,1,300
4.0,4.0,800.0,4.0,13250000.0,1,1,1,800
4.0,6.0,20000.0,6.0,3750000.0,1,1,1,20000
2.0,4.0,1627.0,2.0,1980000.0,1,1,1,1627
2.0,3.0,208.0,2.0,1290000.0,1,1,1,208
2.0,3.0,991.0,2.0,1050000.0,1,1,1,991
2.0,3.0,0.0,1.0,1450000.0,0,1,1,0
2.0,3.0,1627.0,2.0,2150000.0,1,1,1,1627
2.0,3.0,1000.0,1.0,1050000.0,1,1,1,1000
2.0,3.0,400.0,2.0,2295000.0,1,1,1,400
2.0,3.0,991.0,2.0,2200000.0,1,1,1,991
2.0,3.0,1020.0,2.0,1395000.0,1,1,1,1020
2.0,4.0,235.0,2.0,2150000.0,1,1,1,235
2.0,3.0,99.0,1.0,1078947.0,1,1,1,99
3.0,5.0,0.0,2.0,2300000.0,1,1,1,0
1.0,2.0,79.0,1.0,850000.0,0,1,1,79
3.0,4.0,600.0,2.0,3860000.0,1,1,1,600
2.0,3.0,163.0,2.0,2490000.0,0,1,1,163
2.0,4.0,1619.0,2.0,2690000.0,1,1,1,1619
2.0,3.0,1.0,2.0,1799000.0,1,1,1,1
2.0,2.0,120.0,1.0,1099000.0,0,1,1,120
1.0,2.0,3000.0,1.0,9800000.0,0,1,1,3000
3.0,4.0,182.0,1.0,1290000.0,0,1,1,182
2.0,3.0,0.0,1.0,1895000.0,1,1,1,0
2.0,3.0,1000.0,2.0,1350000.0,1,1,1,1000
2.0,3.0,146.0,2.0,1350000.0,0,1,1,146
4.0,4.0,400.0,3.0,4249000.0,1,1,1,400
2.0,3.0,168.0,2.0,1295000.0,0,1,1,168
1.0,3.0,113.0,1.0,820000.0,0,1,1,113
2.0,4.0,0.0,2.0,1990000.0,1,1,1,0
2.0,3.0,0.0,2.0,1349000.0,0,1,1,0
2.0,2.0,120.0,1.0,1195000.0,1,1,1,120
2.0,3.0,892.0,2.0,1750000.0,1,1,1,892
2.0,4.0,0.0,2.0,1450000.0,1,1,1,0
2.0,3.0,1710.0,1.0,1795000.0,1,1,1,1710
3.0,3.0,0.0,2.0,2280000.0,1,1,1,0
3.0,4.0,0.0,2.0,1890000.0,1,1,1,0
2.0,4.0,1500.0,2.0,1699000.0,1,1,1,1500
2.0,3.0,266.0,2.0,3999000.0,1,1,1,266
1.0,2.0,0.0,1.0,650000.0,0,1,1,0
4.0,4.0,1001.0,4.0,5850000.0,1,1,1,1001
3.0,3.0,0.0,2.0,1650000.0,1,1,1,0
2.0,4.0,0.0,2.0,2800000.0,0,1,1,0
4.0,4.0,1486.0,3.0,7500000.0,1,1,1,1486
2.0,4.0,0.0,2.0,1500000.0,1,1,1,0
2.0,3.0,1579.0,2.0,1690000.0,1,1,1,1579
3.0,5.0,600.0,1.0,3750000.0,0,1,1,600
2.0,3.0,1050.0,1.0,1690000.0,1,1,1,1050
3.0,4.0,2745.0,2.0,2250000.0,1,1,1,2745
2.0,3.0,150.0,2.0,1799000.0,0,1,2,150
2.0,3.0,223.0,1.0,1620000.0,0,1,1,223
2.0,3.0,700.0,2.0,2695000.0,1,1,1,700
3.0,4.0,530.0,3.0,7200000.0,1,1,2,530
2.0,4.0,554.0,2.0,2095000.0,1,1,1,554
2.0,4.0,923.0,2.0,1050000.0,1,1,1,923
3.0,3.0,106.0,1.0,1157084.0,1,1,1,106
1.0,2.0,90.0,1.0,1000000.0,0,1,1,90
3.0,4.0,1073.0,3.0,6490000.0,1,1,1,1073
5.0,5.0,422.0,2.0,5995000.0,1,1,2,422
2.0,3.0,408.0,2.0,1880000.0,1,1,1,408
3.0,5.0,0.0,1.0,1990000.0,1,1,1,0
2.0,4.0,0.0,3.0,750000.0,1,1,1,0
2.0,3.0,550.0,2.0,2395000.0,1,1,1,550
1.0,2.0,0.0,1.0,585000.0,0,1,1,0
3.0,4.0,1160.0,2.0,2750000.0,1,1,1,1160
8.0,6.0,0.0,6.0,30000000.0,1,1,1,0
3.0,4.0,1025.0,2.0,1950000.0,1,1,1,1025
2.0,3.0,0.0,2.0,1250000.0,1,1,1,0
3.0,6.0,626.0,2.0,3499000.0,1,1,1,626
1.0,1.0,69.0,1.0,499000.0,0,1,1,69
3.0,4.0,1423.0,2.0,2690000.0,1,1,1,1423
2.0,3.0,150.0,2.0,1430000.0,1,1,1,150
2.0,3.0,1030.0,2.0,1620000.0,1,1,1,1030
2.0,3.0,327.0,2.0,1850000.0,1,1,1,327
3.0,5.0,1304.0,2.0,1495000.0,1,1,1,1304
2.0,3.0,1.0,2.0,2519000.0,1,1,1,1
1.0,4.0,1125.0,1.0,1160000.0,1,1,1,1125
